,Disease,Description,Speciality,Precaution_1,Precaution_2,Precaution_3,Precaution_4
1,Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",Dermatologist,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
2,Varicose Veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",Phlebologist,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
3,Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",Pediatrician,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
4,Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",Dermatologist,use neem in bathing,consume neem leaves,take vaccine ,avoid public places
5,Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",Dermatologist,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
6,Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",Internal Medicine,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
7,Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",Dermatologist,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
8,Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",Otolaryngologist,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
9,Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",Pulmonologist,consult doctor,medication,rest,follow up
10,Dimorphic Hemorrhoids,"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .",Gastroenterologist,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
11,Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",Rheumatologists,exercise,use hot and cold therapy,try acupuncture,massage
12,Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",Dermatologist,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
13,Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",Pulmonologist,switch to loose cloothing,take deep breaths,get away from trigger,seek help
14,Hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",Cardiologist,meditation,salt baths,reduce stress,get proper sleep
15,Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",Neurologist,meditation,reduce stress,use poloroid glasses in sun,consult doctor
16,Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",Neurologist,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
17,Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",Gastroenterologist,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
18,Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Internal Medicine,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
19,urinary tract infection,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",Gyneocologist,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
20,allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",Allergist,apply calamine,cover area with bandage,,use ice to compress itching
21,gastroesophageal reflux disease,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",Gastroenterologist,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
22,drug reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Allergist,stop irritation,consult nearest hospital,stop taking drug,follow up
